DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,MonitoringLocationWaterbody,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,5.88,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,65.6,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,1.17,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,pH,,,7.88,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-07-31,,,,,,Probe/Sensor,"Temperature, water",,,20.57,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Specific conductance,,,205.73,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,6.1,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,66.53,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,10.23,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,pH,,,7.78,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,"Temperature, water",,,19.03,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Specific conductance,,,213.4,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,5.79,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,65.17,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,17.53,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,pH,,,7.85,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Salinity,,,0.1,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,"Temperature, water",,,19.73,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Specific conductance,,,199.97,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,6.51,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,70.1,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,16.2,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,pH,,,7.84,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-01,,,,,,Probe/Sensor,"Temperature, water",,,18.4,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Specific conductance,,,219.27,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.21,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,81.3,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,15.03,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,pH,,,7.87,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,"Temperature, water",,,20.83,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Specific conductance,,,112.07,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,4.66,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,51.8,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,28.73,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,pH,,,7.29,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,Salinity,,,0.06,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-08,,,,,,Probe/Sensor,"Temperature, water",,,21,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Specific conductance,,,221.3,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.03,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,77.67,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,13.37,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,pH,,,7.96,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,"Temperature, water",,,20.23,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Specific conductance,,,224.47,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,4.67,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,51.4,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,1.17,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,pH,,,7.41,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2012-08-09,,,,,,Probe/Sensor,"Temperature, water",,,19.8,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
